Row,Identifier 1,Identifier 2,Comment,Preparation,Method,Time Code,Amount,Peak Nr,Start,Width,Ampl  28,Area 28,BGD 28,d 15N/14N,Ampl  44,Area 44,d 13C/12C,BGD 44,BGD 45,BGD 46,R 29N2/28N2,R 45CO2/44CO2,R 46CO2/44CO2
9,USGS91,D5,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:31:37,3.232,6,1179,57.7,,,,,3810,156.74,-3.7,4.2,4.2,5.8,,0.0119328,0.003917
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,1,76.3,52.5,2578,107.548,17.2,-1.179,,,,,,,0.0073477,,
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,2,165.7,52.3,2576,107.37,16.9,-1.25,,,,,,,0.0073472,,
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,3,255,52.5,2576,107.428,16.6,-1.319,,,,,,,0.0073467,,
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,4,353.8,170.1,2186,107.965,16.4,8.37,,,,,,,0.007418,,
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,5,718.5,234.1,,,,,6219,483.996,-12.529,0.3,-0.3,0.5,,0.0118342,0.0039181
10,USGS90,D6,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:40:13,3.157,6,1179,57.7,,,,,3810,157.093,-3.7,4.1,4.2,5.6,,0.0119328,0.003917
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,1,76.3,52.5,2578,107.694,17.3,-1.18,,,,,,,0.0073477,,
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,2,165.5,52.7,2576,107.438,17.0,-1.25,,,,,,,0.0073472,,
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,3,255,52.5,2579,107.64,16.6,-1.252,,,,,,,0.0073472,,
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,4,353,171.8,2256,111.036,16.4,1.505,,,,,,,0.0073675,,
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,5,717.7,233.7,,,,,6213,482.308,-27.133,0.3,-0.3,0.5,,0.0116709,0.0039178
11,USGS91,D7,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:48:49,3.194,6,1179,57.7,,,,,3815,156.947,-3.7,4.1,4.1,5.8,,0.0119328,0.003917
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,1,76.3,52.5,2575,107.294,17.3,-1.15,,,,,,,0.0073479,,
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,2,165.7,52.5,2580,107.668,17.1,-1.25,,,,,,,0.0073472,,
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,3,255,52.5,2579,107.563,16.7,-1.279,,,,,,,0.007347,,
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,4,353.6,169.9,2123,104.78,16.5,8.236,,,,,,,0.007417,,
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,5,718.1,234.5,,,,,6204,482.161,-12.662,0.4,-0.3,0.5,,0.0118327,0.003918
12,USGS90,D8,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 16:57:25,3.143,6,1179,57.5,,,,,3814,156.815,-3.7,4.1,4.1,5.6,,0.0119328,0.003917
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,1,76.3,52.5,2573,107.48,17.3,-1.166,,,,,,,0.0073478,,
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,2,165.7,52.5,2576,107.424,17.1,-1.25,,,,,,,0.0073472,,
