"IRMS.ID","Name","Species","Facility","Type","Matrix.1","Matrix.2","isotope.raw","isotope.expected"
"20877","USGS40","C","U.S. EPA","Normalization","Compound","High Organic",-26.45,-26.39
"20880","USGS40","C","U.S. EPA","Normalization","Compound","High Organic",-26.46,-26.39
"20858","USGS61","C","U.S. EPA","Normalization","Compound","High Organic",-35.24,-35.05
"20861","USGS61","C","U.S. EPA","Normalization","Compound","High Organic",-35.21,-35.05
"20864","USGS61","C","U.S. EPA","Normalization","Compound","High Organic",-35.27,-35.05
"20869","USGS61","C","U.S. EPA","Normalization","Compound","High Organic",-35.21,-35.05
"20859","USGS63","C","U.S. EPA","Normalization","Compound","High Organic",-1.57,-1.17
"20862","USGS63","C","U.S. EPA","Normalization","Compound","High Organic",-1.57,-1.17
"20865","USGS63","C","U.S. EPA","Normalization","Compound","High Organic",-1.42,-1.17
"20870","USGS63","C","U.S. EPA","Normalization","Compound","High Organic",-1.48,-1.17
"20872","USGS88","C","U.S. EPA","Normalization","Macromolecule","High Organic",-16.29,-16.06
"20875","USGS88","C","U.S. EPA","Normalization","Macromolecule","High Organic",-16.26,-16.06
"20878","USGS88","C","U.S. EPA","Normalization","Macromolecule","High Organic",-16.29,-16.06
"20881","USGS88","C","U.S. EPA","Normalization","Macromolecule","High Organic",-16.34,-16.06
"20873","USGS89","C","U.S. EPA","Normalization","Macromolecule","High Organic",-18.3,-18.13
"20876","USGS89","C","U.S. EPA","Normalization","Macromolecule","High Organic",-18.22,-18.13
"20879","USGS89","C","U.S. EPA","Normalization","Macromolecule","High Organic",-18.19,-18.13
"20882","USGS89","C","U.S. EPA","Normalization","Macromolecule","High Organic",-18.13,-18.13
"20883","USGS90","C","U.S. EPA","Normalization","Plant","Plant",-13.41,-13.75
"20885","USGS90","C","U.S. EPA","Normalization","Plant","Plant",-13.35,-13.75
"20886","USGS90","C","U.S. EPA","Normalization","Plant","Plant",-13.4,-13.75
"20889","USGS90","C","U.S. EPA","Normalization","Plant","Plant",-13.34,-13.75
"20884","USGS91","C","U.S. EPA","Normalization","Plant","Plant",-27.98,-28.28
"20887","USGS91","C","U.S. EPA","Normalization","Plant","Plant",-28.06,-28.28
"20888","USGS91","C","U.S. EPA","Normalization","Plant","Plant",-28.1,-28.28
"20890","USGS91","C","U.S. EPA","Normalization","Plant","Plant",-28.11,-28.28
"2","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",1.511,1.6
"13","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",0.951,1.6
"14","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",0.526,1.6
"15","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",1.303,1.6
"16","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",1.451,1.6
"17","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",1.213,1.6
"18","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",1.392,1.6
"19","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",1.513,1.6
"20","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",1.552,1.6
"21","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",1.566,1.6
"22","CSI Blue Grama","N","UNM CSI","Linearity","Plant","Plant",1.468,1.6
"1","CSI Blue Grama semi micro loop","N","UNM CSI",NA,NA,NA,1.424,NA
"26","CSI Casein","N","UNM CSI","Linearity","High Organic","High Organic",4.838,6.43
"27","CSI Casein","N","UNM CSI","Linearity","High Organic","High Organic",6.524,6.43
"28","CSI Casein","N","UNM CSI","Linearity","High Organic","High Organic",6.18,6.43
"29","CSI Casein","N","UNM CSI","Linearity","High Organic","High Organic",6.164,6.43
"30","CSI Casein","N","UNM CSI","Linearity","High Organic","High Organic",6.477,6.43
"31","CSI Casein","N","UNM CSI","Linearity","High Organic","High Organic",6.441,6.43
"32","CSI Casein","N","UNM CSI","Linearity","High Organic","High Organic",6.429,6.43
"33","CSI Casein","N","UNM CSI","Linearity","High Organic","High Organic",6.515,6.43
"34","CSI Casein","N","UNM CSI","Linearity","High Organic","High Organic",6.465,6.43
"35","CSI Casein","N","UNM CSI","Linearity","High Organic","High Organic",6.537,6.43
"23","CSI Casein micro loop","N","UNM CSI",NA,NA,NA,6.081,NA
"38","IAEA600","N","UNM CSI","Normalization","Compound","High Organic",0.941,1
"44","IAEA600","N","UNM CSI","Normalization","Compound","High Organic",1.077,1
"50","IAEA600","N","UNM CSI","Normalization","Compound","High Organic",0.906,1
"56","IAEA600","N","UNM CSI","Normalization","Compound","High Organic",1.09,1
"1_wg","Reference Gas","N","UNM CSI","Linearity","Reference Gas","Reference Gas",-1.211,0
"2_wg","Reference Gas","N","UNM CSI","Linearity","Reference Gas","Reference Gas",-1.25,0
"3_wg","Reference Gas","N","UNM CSI","Linearity","Reference Gas","Reference Gas",-1.283,0
"4_wg","Reference Gas","N","UNM CSI","Linearity","Reference Gas","Reference Gas",-1.225,0
"5_wg","Reference Gas","N","UNM CSI","Linearity","Reference Gas","Reference Gas",-1.259,0
"6_wg","Reference Gas","N","UNM CSI","Linearity","Reference Gas","Reference Gas",-1.182,0
"7_wg","Reference Gas","N","UNM CSI","Linearity","Reference Gas","Reference Gas",-1.095,0
"8_wg","Reference Gas","N","UNM CSI","Linearity","Reference Gas","Reference Gas",-1.275,0
