"IRMS.ID","Name","Weight.mg","Facility","Type","Matrix","isotope.raw_C","isotope.raw_N","isotope.expected_C","isotope.expected_N","isotope.precision_C","isotope.precision_N"
"2_wg","Reference Gas",0,"U.S. EPA","Linearity","Reference Gas",0.041437195221089,0.00704046625332744,0,0,NA,NA
"3_wg","Reference Gas",0,"U.S. EPA","Linearity","Reference Gas",-0.0586224690072139,-0.0464670772711839,0,0,NA,NA
"4_wg","Reference Gas",0,"U.S. EPA","Linearity","Reference Gas",-0.061376848405409,-0.0571954067998259,0,0,NA,NA
"5_wg","Reference Gas",0,"U.S. EPA","Linearity","Reference Gas",-0.130879281889725,-0.0479422225813098,0,0,NA,NA
"6_wg","Reference Gas",0,"U.S. EPA","Linearity","Reference Gas",-0.0874438571258599,-0.0451260360800898,0,0,NA,NA
"7_wg","Reference Gas",0,"U.S. EPA","Linearity","Reference Gas",-0.0120620194234246,0.0293017500252457,0,0,NA,NA
"8_wg","Reference Gas",0,"U.S. EPA","Linearity","Reference Gas",0.0137218065579193,0.0888439789095141,0,0,NA,NA
"9_wg","Reference Gas",0,"U.S. EPA","Linearity","Reference Gas",0.12320994711493,0.138596607098807,0,0,NA,NA
"10_wg","Reference Gas",0,"U.S. EPA","Linearity","Reference Gas",0.193925507576648,0.214231330275982,0,0,NA,NA
"20871","USGS40",0.527,"U.S. EPA","Normalization","High Organic",-26.4,-4.8,-26.39,-4.52,0.08,0.12
"20874","USGS40",0.553,"U.S. EPA","Normalization","High Organic",-26.4,-4.6,-26.39,-4.52,0.08,0.12
"20877","USGS40",0.533,"U.S. EPA","Normalization","High Organic",-26.5,-4.7,-26.39,-4.52,0.08,0.12
"20880","USGS40",0.522,"U.S. EPA","Normalization","High Organic",-26.5,-4.8,-26.39,-4.52,0.08,0.12
"20858","USGS61",0.171,"U.S. EPA","Normalization","High Organic",-35.2,-3,-35.05,-2.87,0.04,0.04
"20861","USGS61",0.176,"U.S. EPA","Normalization","High Organic",-35.2,-3,-35.05,-2.87,0.04,0.04
"20864","USGS61",0.159,"U.S. EPA","Normalization","High Organic",-35.3,-2.9,-35.05,-2.87,0.04,0.04
"20869","USGS61",0.168,"U.S. EPA","Normalization","High Organic",-35.2,-2.9,-35.05,-2.87,0.04,0.04
"20859","USGS63",0.172,"U.S. EPA","Normalization","High Organic",-1.6,37.6,-1.17,37.83,0.04,0.06
"20862","USGS63",0.161,"U.S. EPA","Normalization","High Organic",-1.6,37.6,-1.17,37.83,0.04,0.06
"20865","USGS63",0.175,"U.S. EPA","Normalization","High Organic",-1.4,37.6,-1.17,37.83,0.04,0.06
"20870","USGS63",0.164,"U.S. EPA","Normalization","High Organic",-1.5,37.3,-1.17,37.83,0.04,0.06
"20872","USGS88",0.302,"U.S. EPA","Normalization","High Organic",-16.3,14.8,-16.06,14.96,0.07,0.14
"20875","USGS88",0.289,"U.S. EPA","Normalization","High Organic",-16.3,14.8,-16.06,14.96,0.07,0.14
"20878","USGS88",0.29,"U.S. EPA","Normalization","High Organic",-16.3,14.7,-16.06,14.96,0.07,0.14
"20881","USGS88",0.295,"U.S. EPA","Normalization","High Organic",-16.3,14.8,-16.06,14.96,0.07,0.14
"20873","USGS89",0.324,"U.S. EPA","Normalization","High Organic",-18.3,6,-18.13,6.25,0.11,0.12
"20876","USGS89",0.322,"U.S. EPA","Normalization","High Organic",-18.2,6.2,-18.13,6.25,0.11,0.12
"20879","USGS89",0.33,"U.S. EPA","Normalization","High Organic",-18.2,6.1,-18.13,6.25,0.11,0.12
"20882","USGS89",0.312,"U.S. EPA","Normalization","High Organic",-18.1,6.2,-18.13,6.25,0.11,0.12
"20883","USGS90",3.166,"U.S. EPA","Normalization","Plant",-13.4,8.5,-13.75,8.84,0.06,0.17
"20885","USGS90",3.192,"U.S. EPA","Normalization","Plant",-13.4,9.2,-13.75,8.84,0.06,0.17
"20886","USGS90",3.151,"U.S. EPA","Normalization","Plant",-13.4,8.4,-13.75,8.84,0.06,0.17
"20889","USGS90",3.24,"U.S. EPA","Normalization","Plant",-13.3,8.6,-13.75,8.84,0.06,0.17
"20884","USGS91",3.34,"U.S. EPA","Normalization","Plant",-28,1.6,-28.28,1.78,0.08,0.12
"20887","USGS91",3.337,"U.S. EPA","Normalization","Plant",-28.1,1.6,-28.28,1.78,0.08,0.12
"20888","USGS91",3.324,"U.S. EPA","Normalization","Plant",-28.1,1.6,-28.28,1.78,0.08,0.12
"20890","USGS91",3.257,"U.S. EPA","Normalization","Plant",-28.1,1.5,-28.28,1.78,0.08,0.12
"1_wg","Reference Gas",0,"UNM CSI","Linearity","Reference Gas",NA,-1.211,NA,0,NA,NA
"2_wg","Reference Gas",0,"UNM CSI","Linearity","Reference Gas",NA,-1.25,NA,0,NA,NA
"3_wg","Reference Gas",0,"UNM CSI","Linearity","Reference Gas",NA,-1.283,NA,0,NA,NA
"4_wg","Reference Gas",0,"UNM CSI","Linearity","Reference Gas",NA,-1.225,NA,0,NA,NA
"5_wg","Reference Gas",0,"UNM CSI","Linearity","Reference Gas",NA,-1.259,NA,0,NA,NA
"6_wg","Reference Gas",0,"UNM CSI","Linearity","Reference Gas",NA,-1.182,NA,0,NA,NA
"7_wg","Reference Gas",0,"UNM CSI","Linearity","Reference Gas",NA,-1.095,NA,0,NA,NA
"8_wg","Reference Gas",0,"UNM CSI","Linearity","Reference Gas",NA,-1.275,NA,0,NA,NA
"9_wg","Reference Gas",0,"UNM CSI","Linearity","Reference Gas",NA,-1.294,NA,0,NA,NA
