"Species","Method","Facility","Matrix","Extrapolation","Standards","QC_Deviation_(permil)","QC_95%_CI","m","b","m_95%_CI","b_95%_CI","Comments"
"N","Four-Point","U.S. EPA","Mixed","Interpolated","USGS40_USGS61_USGS63_USGS89",-0.028,0.143,0.996,-0.141,0.004,0.072,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS61_USGS63_USGS90",0.015,0.241,0.996,-0.153,0.006,0.122,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS61_USGS63_USGS91",0.049,0.141,0.996,-0.172,0.004,0.069,NA
"N","Four-Point","U.S. EPA","Matched","Extrapolated","USGS40_USGS61_USGS88_USGS89",-0.123,0.237,0.999,-0.143,0.006,0.052,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","USGS40_USGS61_USGS88_USGS89",0.014,0.108,0.999,-0.143,0.006,0.052,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","USGS40_USGS61_USGS88_USGS89",-0.041,0.11,0.999,-0.143,0.006,0.052,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS61_USGS88_USGS90",-0.09,0.461,0.998,-0.153,0.012,0.11,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS61_USGS88_USGS90",0.005,0.221,0.998,-0.153,0.012,0.11,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS61_USGS88_USGS91",-0.084,0.251,0.998,-0.166,0.006,0.051,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS61_USGS88_USGS91",0.035,0.113,0.998,-0.166,0.006,0.051,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS61_USGS89_USGS90",-0.112,0.484,1,-0.144,0.017,0.104,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS61_USGS89_USGS90",-0.026,0.221,1,-0.144,0.017,0.104,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS61_USGS89_USGS91",-0.118,0.276,1.002,-0.153,0.012,0.051,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS61_USGS89_USGS91",0.021,0.114,1.002,-0.153,0.012,0.051,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS61_USGS90_USGS91",-0.04,0.546,0.998,-0.165,0.019,0.1,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS61_USGS90_USGS91",0.047,0.233,0.998,-0.165,0.019,0.1,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","USGS40_USGS63_USGS88_USGS89",0.06,0.149,0.997,-0.164,0.004,0.082,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","USGS40_USGS63_USGS88_USGS89",-0.01,0.142,0.997,-0.164,0.004,0.082,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS63_USGS88_USGS90",0.053,0.249,0.997,-0.182,0.007,0.142,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS63_USGS88_USGS91",0.086,0.133,0.998,-0.201,0.004,0.072,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS63_USGS89_USGS90",0.026,0.248,0.997,-0.163,0.007,0.134,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS63_USGS89_USGS91",0.059,0.143,0.997,-0.182,0.004,0.073,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS63_USGS90_USGS91",0.084,0.239,0.997,-0.198,0.006,0.125,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS88_USGS89_USGS90",-0.192,0.477,1.002,-0.182,0.014,0.13,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS88_USGS89_USGS90",0.045,0.233,1.002,-0.182,0.014,0.13,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS88_USGS89_USGS91",-0.202,0.227,1.002,-0.191,0.006,0.053,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS88_USGS89_USGS91",0.061,0.104,1.002,-0.191,0.006,0.053,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS88_USGS90_USGS91",-0.179,0.468,1.002,-0.205,0.013,0.116,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS88_USGS90_USGS91",0.096,0.222,1.002,-0.205,0.013,0.116,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS40_USGS89_USGS90_USGS91",-0.193,0.496,1.005,-0.194,0.019,0.113,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS40_USGS89_USGS90_USGS91",0.097,0.229,1.005,-0.194,0.019,0.113,NA
"N","Four-Point","U.S. EPA","Matched","Extrapolated","USGS61_USGS63_USGS88_USGS89",-0.153,0.132,0.994,-0.088,0.003,0.07,NA
"N","Four-Point","U.S. EPA","Matched","Interpolated","USGS61_USGS63_USGS88_USGS89",-0.036,0.124,0.994,-0.088,0.003,0.07,NA
"N","Four-Point","U.S. EPA","Mixed","Interpolated","USGS61_USGS63_USGS88_USGS89",-0.071,0.12,0.994,-0.088,0.003,0.07,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS63_USGS88_USGS90",-0.138,0.261,0.994,-0.102,0.007,0.141,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS63_USGS88_USGS90",-0.036,0.24,0.994,-0.102,0.007,0.141,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS63_USGS88_USGS91",-0.1,0.143,0.995,-0.135,0.004,0.073,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS63_USGS88_USGS91",0.019,0.131,0.995,-0.135,0.004,0.073,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS63_USGS89_USGS90",-0.145,0.254,0.994,-0.095,0.007,0.13,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS63_USGS89_USGS90",-0.046,0.235,0.994,-0.095,0.007,0.13,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS63_USGS89_USGS91",-0.112,0.143,0.995,-0.125,0.004,0.071,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS63_USGS89_USGS91",0.003,0.134,0.995,-0.125,0.004,0.071,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS63_USGS90_USGS91",-0.098,0.255,0.995,-0.137,0.007,0.127,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS63_USGS90_USGS91",0.028,0.236,0.995,-0.137,0.007,0.127,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS88_USGS89_USGS90",-0.061,0.383,0.993,-0.091,0.014,0.135,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS88_USGS89_USGS90",-0.07,0.224,0.993,-0.091,0.014,0.135,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS88_USGS89_USGS91",-0.068,0.179,0.996,-0.125,0.007,0.055,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS88_USGS89_USGS91",-0.005,0.102,0.996,-0.125,0.007,0.055,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS88_USGS90_USGS91",-0.054,0.382,0.995,-0.135,0.014,0.125,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS88_USGS90_USGS91",0.026,0.22,0.995,-0.135,0.014,0.125,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS61_USGS89_USGS90_USGS91",-0.03,0.464,0.995,-0.125,0.022,0.123,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS61_USGS89_USGS90_USGS91",0,0.224,0.995,-0.125,0.022,0.123,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS63_USGS88_USGS89_USGS90",-0.063,0.273,0.994,-0.101,0.008,0.171,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS63_USGS88_USGS89_USGS91",-0.004,0.15,0.996,-0.144,0.004,0.086,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS63_USGS88_USGS89_USGS91",0.009,0.133,0.996,-0.144,0.004,0.086,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS63_USGS88_USGS90_USGS91",0.019,0.268,0.996,-0.165,0.008,0.158,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS63_USGS88_USGS90_USGS91",0.07,0.241,0.996,-0.165,0.008,0.158,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS63_USGS89_USGS90_USGS91",-0.002,0.261,0.996,-0.145,0.007,0.144,NA
"N","Four-Point","U.S. EPA",NA,"Interpolated","USGS63_USGS89_USGS90_USGS91",0.023,0.234,0.996,-0.145,0.007,0.144,NA
"N","Four-Point","U.S. EPA",NA,"Extrapolated","USGS88_USGS89_USGS90_USGS91",-0.011,0.38,1,-0.175,0.02,0.186,NA
"N","One-Point","UNM CSI","Matched","Extrapolated","IAEA600",-5.43,0.149,1,-0.004,NA,0.149,NA
"N","One-Point","UNM CSI","Mixed","Extrapolated","IAEA600",-0.305,0.149,1,-0.004,NA,0.149,NA
"N","One-Point","UNM CSI","Matched","Extrapolated","USGS40",-6.504,0.07,1,0.055,NA,0.07,NA
"N","One-Point","UNM CSI","Mixed","Extrapolated","USGS40",-0.247,0.07,1,0.055,NA,0.07,NA
"N","One-Point","UNM CSI","Matched","Extrapolated","USGS61",-6.213,0.047,1,0.007,NA,0.047,NA
"N","One-Point","UNM CSI","Mixed","Extrapolated","USGS61",-0.295,0.047,1,0.007,NA,0.047,NA
"N","One-Point","UNM CSI","Matched","Extrapolated","USGS63",2.63,0.109,1,0.502,NA,0.109,NA
"N","One-Point","UNM CSI","Mixed","Extrapolated","USGS63",0.2,0.109,1,0.502,NA,0.109,NA
"N","One-Point","UNM CSI","Matched","Extrapolated","USGS88",-2.467,0.185,1,0.096,NA,0.185,NA
"N","One-Point","UNM CSI","Mixed","Extrapolated","USGS88",-0.206,0.185,1,0.096,NA,0.185,NA
"N","One-Point","UNM CSI","Matched","Extrapolated","USGS89",-4.241,0.18,1,0.031,NA,0.18,NA
"N","One-Point","UNM CSI","Mixed","Extrapolated","USGS89",-0.271,0.18,1,0.031,NA,0.18,NA
"N","One-Point","UNM CSI","Matched","Extrapolated","USGS90",3.738,0.104,1,0.51,NA,0.104,NA
"N","One-Point","UNM CSI","Mixed","Extrapolated","USGS90",-3.311,0.104,1,0.51,NA,0.104,NA
"N","One-Point","UNM CSI","Matched","Extrapolated","USGS91",-3.525,0.23,1,0.307,NA,0.23,NA
"N","One-Point","UNM CSI","Mixed","Extrapolated","USGS91",-3.514,0.23,1,0.307,NA,0.23,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS40",-0.42,0.507,1.011,-0.007,0.023,0.075,NA
"N","Two-Point","UNM CSI","Matched","Interpolated","IAEA600_USGS40",0.03,0.111,1.011,-0.007,0.023,0.075,NA
"N","Two-Point","UNM CSI","Mixed","Extrapolated","IAEA600_USGS40",-0.453,0.191,1.011,-0.007,0.023,0.075,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS61",-0.214,0.529,1.003,0.001,0.031,0.067,NA
"N","Two-Point","UNM CSI","Mixed","Extrapolated","IAEA600_USGS61",-0.423,0.216,1.003,0.001,0.031,0.067,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS63",-0.1,0.154,0.986,0.017,0.004,0.103,NA
"N","Two-Point","UNM CSI","Matched","Interpolated","IAEA600_USGS63",0.068,0.13,0.986,0.017,0.004,0.103,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS63",-0.358,0.138,0.986,0.017,0.004,0.103,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS88",-0.127,0.288,0.993,0.011,0.013,0.139,NA
"N","Two-Point","UNM CSI","Matched","Interpolated","IAEA600_USGS88",0.003,0.161,0.993,0.011,0.013,0.139,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS88",-0.384,0.17,0.993,0.011,0.013,0.139,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS89",-0.101,0.549,0.993,0.01,0.034,0.153,NA
"N","Two-Point","UNM CSI","Mixed","Extrapolated","IAEA600_USGS89",-0.465,0.226,0.993,0.01,0.034,0.153,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS89",-0.307,0.173,0.993,0.01,0.034,0.153,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS90",0.545,0.339,0.935,0.069,0.018,0.112,NA
"N","Two-Point","UNM CSI",NA,"Interpolated","IAEA600_USGS90",0.006,0.14,0.935,0.069,0.018,0.112,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS91",NA,9.024,0.602,NA,0.27,0.39,"Not computed. See methods"
"N","Two-Point","UNM CSI","Matched","Extrapolated","USGS40_USGS61",-0.659,0.706,1.029,0.076,0.039,0.149,NA
"N","Two-Point","UNM CSI","Mixed","Extrapolated","USGS40_USGS61",-0.62,0.327,1.029,0.076,0.039,0.149,NA
"N","Two-Point","UNM CSI","Matched","Interpolated","USGS40_USGS63",0.122,0.093,0.989,-0.103,0.002,0.064,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","USGS40_USGS63",-0.252,0.092,0.989,-0.103,0.002,0.064,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","USGS40_USGS88",-0.359,0.284,0.998,-0.064,0.008,0.086,NA
"N","Two-Point","UNM CSI","Matched","Interpolated","USGS40_USGS88",0.056,0.138,0.998,-0.064,0.008,0.086,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","USGS40_USGS88",-0.334,0.135,0.998,-0.064,0.008,0.086,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","USGS40_USGS89",-0.312,0.374,1.002,-0.045,0.014,0.075,NA
"N","Two-Point","UNM CSI","Matched","Interpolated","USGS40_USGS89",0.045,0.133,1.002,-0.045,0.014,0.075,NA
"N","Two-Point","UNM CSI","Mixed","Extrapolated","USGS40_USGS89",-0.483,0.164,1.002,-0.045,0.014,0.075,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","USGS40_USGS89",-0.265,0.128,1.002,-0.045,0.014,0.075,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","USGS40_USGS90",0.837,0.211,0.966,-0.209,0.007,0.051,NA
"N","Two-Point","UNM CSI",NA,"Interpolated","USGS40_USGS90",0.175,0.09,0.966,-0.209,0.007,0.051,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","USGS40_USGS91",0.662,0.623,0.96,-0.236,0.029,0.101,NA
"N","Two-Point","UNM CSI",NA,"Interpolated","USGS40_USGS91",0.205,0.179,0.96,-0.236,0.029,0.101,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","USGS61_USGS63",-0.069,0.095,0.988,-0.042,0.002,0.06,NA
"N","Two-Point","UNM CSI","Matched","Interpolated","USGS61_USGS63",0.092,0.084,0.988,-0.042,0.002,0.06,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","USGS61_USGS63",-0.305,0.085,0.988,-0.042,0.002,0.06,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","USGS61_USGS88",-0.175,0.222,0.995,-0.021,0.008,0.089,NA
"N","Two-Point","UNM CSI","Matched","Interpolated","USGS61_USGS88",0.026,0.131,0.995,-0.021,0.008,0.089,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","USGS61_USGS88",-0.362,0.131,0.995,-0.021,0.008,0.089,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","USGS61_USGS89",-0.161,0.325,0.997,-0.015,0.016,0.076,NA
"N","Two-Point","UNM CSI","Matched","Interpolated","USGS61_USGS89",0.021,0.124,0.997,-0.015,0.016,0.076,NA
"N","Two-Point","UNM CSI","Mixed","Extrapolated","USGS61_USGS89",-0.473,0.162,0.997,-0.015,0.016,0.076,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","USGS61_USGS89",-0.288,0.124,0.997,-0.015,0.016,0.076,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","USGS61_USGS90",0.63,0.174,0.957,-0.13,0.008,0.049,NA
"N","Two-Point","UNM CSI",NA,"Interpolated","USGS61_USGS90",0.145,0.082,0.957,-0.13,0.008,0.049,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","USGS61_USGS91",0.829,0.694,0.936,-0.192,0.039,0.093,NA
"N","Two-Point","UNM CSI",NA,"Interpolated","USGS61_USGS91",0.278,0.183,0.936,-0.192,0.039,0.093,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","USGS63_USGS88",-0.2,0.246,0.982,0.17,0.007,0.208,NA
"N","Two-Point","UNM CSI","Mixed","Extrapolated","USGS63_USGS88",-0.493,0.216,0.982,0.17,0.007,0.208,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","USGS63_USGS89",-0.115,0.19,0.985,0.062,0.005,0.139,NA
"N","Two-Point","UNM CSI","Matched","Interpolated","USGS63_USGS89",0.066,0.147,0.985,0.062,0.005,0.139,NA
"N","Two-Point","UNM CSI","Mixed","Extrapolated","USGS63_USGS89",-0.348,0.178,0.985,0.062,0.005,0.139,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","USGS63_USGS89",-0.447,0.159,0.985,0.062,0.005,0.139,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","USGS63_USGS90",0.431,0.136,1,-0.512,0.004,0.11,NA
"N","Two-Point","UNM CSI",NA,"Interpolated","USGS63_USGS90",0.412,0.106,1,-0.512,0.004,0.11,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","USGS63_USGS91",0.268,0.208,0.995,-0.297,0.005,0.145,NA
"N","Two-Point","UNM CSI",NA,"Interpolated","USGS63_USGS91",0.133,0.179,0.995,-0.297,0.005,0.145,NA
"N","Two-Point","UNM CSI","Matched","Extrapolated","USGS88_USGS89",-0.098,0.417,0.993,0.015,0.023,0.261,NA
"N","Two-Point","UNM CSI","Mixed","Extrapolated","USGS88_USGS89",-0.311,0.271,0.993,0.015,0.023,0.261,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","USGS88_USGS89",-0.463,0.18,0.993,0.015,0.023,0.261,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","USGS88_USGS90",0.477,0.356,1.068,-1.108,0.027,0.327,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","USGS88_USGS91",0.068,0.326,1.016,-0.336,0.017,0.183,NA
"N","Two-Point","UNM CSI",NA,"Interpolated","USGS88_USGS91",-0.072,0.194,1.016,-0.336,0.017,0.183,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","USGS89_USGS90",0.245,1.126,0.815,1.124,0.062,0.472,NA
"N","Two-Point","UNM CSI",NA,"Extrapolated","USGS89_USGS91",-0.326,0.548,1.062,-0.417,0.05,0.231,NA
"N","Two-Point","UNM CSI","Mixed","Extrapolated","USGS90_USGS91",0.403,0.423,0.971,-0.256,0.027,0.175,NA
"N","Two-Point","UNM CSI","Mixed","Interpolated","USGS90_USGS91",0.416,0.177,0.971,-0.256,0.027,0.175,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS40_USGS61",-0.4,0.38,1.009,0,0.017,0.053,NA
"N","Three-Point","UNM CSI","Mixed","Extrapolated","IAEA600_USGS40_USGS61",-0.453,0.145,1.009,0,0.017,0.053,NA
"N","Three-Point","UNM CSI","Matched","Interpolated","IAEA600_USGS40_USGS63",0.078,0.118,0.988,-0.051,0.003,0.066,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS40_USGS63",-0.299,0.116,0.988,-0.051,0.003,0.066,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS40_USGS88",-0.35,0.271,0.997,-0.037,0.007,0.065,NA
"N","Three-Point","UNM CSI","Matched","Interpolated","IAEA600_USGS40_USGS88",0.023,0.125,0.997,-0.037,0.007,0.065,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS40_USGS88",-0.356,0.122,0.997,-0.037,0.007,0.065,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS40_USGS89",-0.329,0.343,1.002,-0.03,0.013,0.057,NA
"N","Three-Point","UNM CSI","Matched","Interpolated","IAEA600_USGS40_USGS89",0.029,0.122,1.002,-0.03,0.013,0.057,NA
"N","Three-Point","UNM CSI","Mixed","Extrapolated","IAEA600_USGS40_USGS89",-0.499,0.147,1.002,-0.03,0.013,0.057,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS40_USGS89",-0.281,0.112,1.002,-0.03,0.013,0.057,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS40_USGS90",0.807,0.491,0.964,-0.123,0.017,0.097,NA
"N","Three-Point","UNM CSI",NA,"Interpolated","IAEA600_USGS40_USGS90",0.061,0.202,0.964,-0.123,0.017,0.097,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS40_USGS91",0.213,0.743,0.979,-0.132,0.038,0.108,NA
"N","Three-Point","UNM CSI",NA,"Interpolated","IAEA600_USGS40_USGS91",0.065,0.232,0.979,-0.132,0.038,0.108,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS61_USGS63",-0.099,0.102,0.987,-0.015,0.002,0.055,NA
"N","Three-Point","UNM CSI","Matched","Interpolated","IAEA600_USGS61_USGS63",0.09,0.093,0.987,-0.015,0.002,0.055,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS61_USGS63",-0.329,0.095,0.987,-0.015,0.002,0.055,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS61_USGS88",-0.178,0.194,0.994,-0.009,0.007,0.063,NA
"N","Three-Point","UNM CSI","Matched","Interpolated","IAEA600_USGS61_USGS88",0.013,0.11,0.994,-0.009,0.007,0.063,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS61_USGS88",-0.372,0.112,0.994,-0.009,0.007,0.063,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS61_USGS89",-0.165,0.294,0.997,-0.007,0.014,0.057,NA
"N","Three-Point","UNM CSI","Mixed","Extrapolated","IAEA600_USGS61_USGS89",-0.478,0.145,0.997,-0.007,0.014,0.057,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS61_USGS89",-0.295,0.107,0.997,-0.007,0.014,0.057,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS61_USGS90",0.618,0.34,0.954,-0.064,0.015,0.079,NA
"N","Three-Point","UNM CSI",NA,"Interpolated","IAEA600_USGS61_USGS90",0.067,0.156,0.954,-0.064,0.015,0.079,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS61_USGS91",0.43,0.837,0.957,-0.105,0.05,0.101,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS63_USGS88",-0.14,0.163,0.986,0.055,0.004,0.101,NA
"N","Three-Point","UNM CSI","Matched","Interpolated","IAEA600_USGS63_USGS88",0.002,0.142,0.986,0.055,0.004,0.101,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS63_USGS88",-0.394,0.145,0.986,0.055,0.004,0.101,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS63_USGS89",-0.121,0.136,0.986,0.036,0.004,0.079,NA
"N","Three-Point","UNM CSI","Matched","Interpolated","IAEA600_USGS63_USGS89",0.081,0.118,0.986,0.036,0.004,0.079,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS63_USGS89",-0.374,0.124,0.986,0.036,0.004,0.079,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS63_USGS90",0.112,0.323,0.99,-0.178,0.009,0.193,NA
"N","Three-Point","UNM CSI",NA,"Interpolated","IAEA600_USGS63_USGS90",0.107,0.288,0.99,-0.178,0.009,0.193,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS63_USGS91",0.07,0.246,0.99,-0.137,0.006,0.139,NA
"N","Three-Point","UNM CSI",NA,"Interpolated","IAEA600_USGS63_USGS91",0.016,0.222,0.99,-0.137,0.006,0.139,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","IAEA600_USGS88_USGS89",-0.128,0.248,0.993,0.012,0.011,0.107,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","IAEA600_USGS88_USGS89",-0.385,0.141,0.993,0.012,0.011,0.107,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS88_USGS90",0.031,0.618,0.99,-0.12,0.028,0.285,NA
"N","Three-Point","UNM CSI",NA,"Interpolated","IAEA600_USGS88_USGS90",-0.021,0.357,0.99,-0.12,0.028,0.285,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS88_USGS91",-0.068,0.397,1.003,-0.152,0.018,0.158,NA
"N","Three-Point","UNM CSI",NA,"Interpolated","IAEA600_USGS88_USGS91",-0.158,0.234,1.003,-0.152,0.018,0.158,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS89_USGS90",0.376,0.656,0.943,0.126,0.035,0.222,NA
"N","Three-Point","UNM CSI",NA,"Interpolated","IAEA600_USGS89_USGS90",-0.352,0.286,0.943,0.126,0.035,0.222,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS89_USGS91",-0.25,0.706,1.017,-0.162,0.051,0.195,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","IAEA600_USGS90_USGS91",0.513,0.539,0.949,-0.074,0.029,0.151,NA
"N","Three-Point","UNM CSI",NA,"Interpolated","IAEA600_USGS90_USGS91",0.38,0.23,0.949,-0.074,0.029,0.151,NA
"N","Three-Point","UNM CSI","Matched","Interpolated","USGS40_USGS61_USGS63",0.117,0.074,0.989,-0.073,0.002,0.041,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","USGS40_USGS61_USGS63",-0.278,0.074,0.989,-0.073,0.002,0.041,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","USGS40_USGS61_USGS88",-0.335,0.212,0.997,-0.044,0.005,0.049,NA
"N","Three-Point","UNM CSI","Matched","Interpolated","USGS40_USGS61_USGS88",0.043,0.097,0.997,-0.044,0.005,0.049,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","USGS40_USGS61_USGS88",-0.348,0.098,0.997,-0.044,0.005,0.049,NA
"N","Three-Point","UNM CSI","Matched","Extrapolated","USGS40_USGS61_USGS89",-0.283,0.276,1.001,-0.031,0.01,0.046,NA
"N","Three-Point","UNM CSI","Matched","Interpolated","USGS40_USGS61_USGS89",0.034,0.093,1.001,-0.031,0.01,0.046,NA
"N","Three-Point","UNM CSI","Mixed","Extrapolated","USGS40_USGS61_USGS89",-0.484,0.125,1.001,-0.031,0.01,0.046,NA
"N","Three-Point","UNM CSI","Mixed","Interpolated","USGS40_USGS61_USGS89",-0.277,0.094,1.001,-0.031,0.01,0.046,NA
"N","Three-Point","UNM CSI",NA,"Extrapolated","USGS40_USGS61_USGS90",0.892,0.226,0.963,-0.173,0.007,0.044,NA
